Episode 8: Total Reward = 0.82, Epsilon = 0.9607
Episode 1: Total Reward = 0.85, Epsilon = 0.9950
Episode 2: Total Reward = -0.5300000000000002, Epsilon = 0.9900
Episode 3: Total Reward = -0.20000000000000004, Epsilon = 0.9851
Episode 4: Total Reward = 0.97, Epsilon = 0.9801
Episode 5: Total Reward = -0.3900000000000002, Epsilon = 0.9752
Episode 6: Total Reward = -0.20000000000000004, Epsilon = 0.9704
Episode 7: Total Reward = -0.22000000000000006, Epsilon = 0.9655
Episode 8: Total Reward = -0.4100000000000002, Epsilon = 0.9607
Episode 9: Total Reward = 0.97, Epsilon = 0.9559
Episode 1: Total Reward = -0.26000000000000006, Epsilon = 0.9950
Episode 2: Total Reward = -0.3100000000000001, Epsilon = 0.9900
Episode 3: Total Reward = -0.3200000000000001, Epsilon = 0.9851
Episode 4: Total Reward = 0.87, Epsilon = 0.9801
Episode 5: Total Reward = -0.3200000000000001, Epsilon = 0.9752
Episode 6: Total Reward = 0.85, Epsilon = 0.9704
Episode 7: Total Reward = -0.12999999999999998, Epsilon = 0.9655
Episode 1: Total Reward = 0.95, Epsilon = 0.9950
Episode 2: Total Reward = -0.22000000000000006, Epsilon = 0.9900
Episode 3: Total Reward = -0.17, Epsilon = 0.9851
Episode 4: Total Reward = 0.6599999999999999, Epsilon = 0.9801
Episode 5: Total Reward = 0.7599999999999999, Epsilon = 0.9752
Episode 6: Total Reward = -0.20000000000000004, Epsilon = 0.9704
Episode 7: Total Reward = 0.98, Epsilon = 0.9655
Episode 8: Total Reward = -0.3200000000000001, Epsilon = 0.9607
